Trace File Name, Cache Size (KB), Block Size (bytes), Associativity, Replacement Policy, Total Blocks (KB), Total Blocks Exponent (2^X), Tag Size (bits), Index Size (bits), Total Indicies (KB), Overhead Memory Size (KB), Implementation Memory Size (KB), Cache Hit Rate %, CPI
"TinyTrace.trc", 8, 4, 2, RR, 2.0, 11, 20, 10, 1.0, 5.25, 13.25, 77.19, 6.333333333333333
"TinyTrace.trc", 8, 4, 2, RND, 2.0, 11, 20, 10, 1.0, 5.25, 13.25, 78.18, 6.111111111111111
"TinyTrace.trc", 8, 16, 2, RR, 0.5, 9, 20, 8, 0.25, 1.3125, 9.3125, 92.86, 14.0
"TinyTrace.trc", 8, 16, 2, RND, 0.5, 9, 20, 8, 0.25, 1.3125, 9.3125, 93.04, 12.777777777777779
"TinyTrace.trc", 8, 64, 2, RR, 0.125, 7, 20, 6, 0.0625, 0.328125, 8.328125, 98.00, 50.0
"TinyTrace.trc", 8, 64, 2, RND, 0.125, 7, 20, 6, 0.0625, 0.328125, 8.328125, 98.01, 44.77777777777778
"TinyTrace.trc", 64, 4, 2, RR, 16.0, 14, 17, 13, 8.0, 36.0, 100.0, 77.19, 6.333333333333333
"TinyTrace.trc", 64, 4, 2, RND, 16.0, 14, 17, 13, 8.0, 36.0, 100.0, 78.18, 6.111111111111111
"TinyTrace.trc", 64, 16, 2, RR, 4.0, 12, 17, 11, 2.0, 9.0, 73.0, 92.86, 14.0
"TinyTrace.trc", 64, 16, 2, RND, 4.0, 12, 17, 11, 2.0, 9.0, 73.0, 93.04, 12.777777777777779
"TinyTrace.trc", 64, 64, 2, RR, 1.0, 10, 17, 9, 0.5, 2.25, 66.25, 98.00, 50.0
"TinyTrace.trc", 64, 64, 2, RND, 1.0, 10, 17, 9, 0.5, 2.25, 66.25, 98.01, 44.77777777777778
"TinyTrace.trc", 256, 4, 2, RR, 64.0, 16, 15, 15, 32.0, 128.0, 384.0, 77.19, 6.333333333333333
"TinyTrace.trc", 256, 4, 2, RND, 64.0, 16, 15, 15, 32.0, 128.0, 384.0, 78.18, 6.111111111111111
"TinyTrace.trc", 256, 16, 2, RR, 16.0, 14, 15, 13, 8.0, 32.0, 288.0, 92.86, 14.0
"TinyTrace.trc", 256, 16, 2, RND, 16.0, 14, 15, 13, 8.0, 32.0, 288.0, 93.04, 12.777777777777779
"TinyTrace.trc", 256, 64, 2, RR, 4.0, 12, 15, 11, 2.0, 8.0, 264.0, 98.00, 50.0
"TinyTrace.trc", 256, 64, 2, RND, 4.0, 12, 15, 11, 2.0, 8.0, 264.0, 98.01, 44.77777777777778
"TinyTrace.trc", 1024, 4, 2, RR, 256.0, 18, 13, 17, 128.0, 448.0, 1472.0, 77.19, 6.333333333333333
"TinyTrace.trc", 1024, 4, 2, RND, 256.0, 18, 13, 17, 128.0, 448.0, 1472.0, 78.18, 6.111111111111111
"TinyTrace.trc", 1024, 16, 2, RR, 64.0, 16, 13, 15, 32.0, 112.0, 1136.0, 92.86, 14.0
"TinyTrace.trc", 1024, 16, 2, RND, 64.0, 16, 13, 15, 32.0, 112.0, 1136.0, 93.04, 12.777777777777779
"TinyTrace.trc", 1024, 64, 2, RR, 16.0, 14, 13, 13, 8.0, 28.0, 1052.0, 98.00, 50.0
"TinyTrace.trc", 1024, 64, 2, RND, 16.0, 14, 13, 13, 8.0, 28.0, 1052.0, 98.01, 44.77777777777778
"TestTrace.trc", 8, 4, 2, RR, 2.0, 11, 20, 10, 1.0, 5.25, 13.25, 77.75, 7.717391304347826
"TestTrace.trc", 8, 4, 2, RND, 2.0, 11, 20, 10, 1.0, 5.25, 13.25, 81.06, 6.543478260869565
"TestTrace.trc", 8, 16, 2, RR, 0.5, 9, 20, 8, 0.25, 1.3125, 9.3125, 93.43, 14.565217391304348
"TestTrace.trc", 8, 16, 2, RND, 0.5, 9, 20, 8, 0.25, 1.3125, 9.3125, 93.72, 12.108695652173912
